French,English
partie,part
aide,help
mois,month
arrivé,come
devrait,should
longtemps,long time
place,square
compris,understood
attention,Warning
voici,here is
affaire,case
donner,give
leurs,their
donné,given
train,train
dont,whose
premier,first
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
pardon,sorry
devant,in front of
minutes,minutes
mis,placed
aimerais,would like to
enfin,finally
espère,hope
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
compte,account
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
